,countries,danceability,energy,valence,type_of_info
0,ARG,0.7689885057471259,0.7710804597701161,0.6682413793103446,cons
1,MEX,0.741206896551724,0.6991494252873569,0.710977011494253,cons
2,AUS,0.7160344827586211,0.5937908045977011,0.5214022988505755,cons
3,CAN,0.768574712643678,0.5701609195402293,0.5766586206896558,cons
4,GBP,0.7186781609195407,0.6256896551724136,0.5685827586206903,cons
5,GER,0.7227931034482764,0.6531034482758615,0.5219885057471272,cons
6,JPN,0.5619529411764707,0.7136615176470588,0.4969401176470587,cons
7,ARG,0.5925843973403108,0.6386952206271816,0.505149749525015,prod
8,MEX,0.6276012033299647,0.6406162951995442,0.6161948488064974,prod
9,AUS,0.5852122784633227,0.6655686395904197,0.5018612033277133,prod
10,CAN,0.5899757839257704,0.6517441430098138,0.5004905162510767,prod
11,GBP,0.6068390102601615,0.6398250783303975,0.49610830836995956,prod
12,GER,0.6003876321720021,0.6420855226474684,0.5024473205648611,prod
13,JPN,0.593233869879374,0.6801451233446038,0.5376376272870877,prod
